text,lang,retweet_count,favorite_count,label,translated_text
"do i have as?: i have been diagnosed with a few things, depression (confirmed to be wrong), as and adhd. i believe... http://bit.ly/crculn",en,0,0,1,"do i have as?: i have been diagnosed with a few things, depression (confirmed to be wrong), as and adhd. i believe... http://bit.ly/crculn"
"hate having friends doing med, so far this wk i have been diagnosed with having liver failure, depression, mild paranoia and chronic fatigue",en,0,0,1,"hate having friends doing med, so far this wk i have been diagnosed with having liver failure, depression, mild paranoia and chronic fatigue"
"@bullyinguk i've been bullied for 6 years, its torn me apart, because of the bullies i have been diagnosed with depression and anxiety x",en,0,0,1,"@bullyinguk i've been bullied for 6 years, its torn me apart, because of the bullies i have been diagnosed with depression and anxiety x"
i have been diagnosed with depression before. #aboutme,en,0,0,1,i have been diagnosed with depression before. #aboutme
self help tips for dealing w/depression & mental illness?: i have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egfpkm,en,0,0,1,self help tips for dealing w/depression & mental illness?: i have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egfpkm
i'm depressed #depression is one of the most common sicknesses in america meeeeee ? i'm diagnosed,en,0,0,1,i'm depressed #depression is one of the most common sicknesses in america meeeeee ? i'm diagnosed
aww. {hugs} rt @_mahalial2011i'm depressed #depression is one of the most common sicknesses in america meeeeee ? i'm diagnosed,en,0,0,1,aww. {hugs} rt @_mahalial2011i'm depressed #depression is one of the most common sicknesses in america meeeeee ? i'm diagnosed
"@vonpink yeah i know, it's just weird that all of a sudden i'm diagnosed with depression when i don't have a clue why i'm depressed.",en,0,0,1,"@vonpink yeah i know, it's just weird that all of a sudden i'm diagnosed with depression when i don't have a clue why i'm depressed."
"'i was ill,' contends wills: “i have been diagnosed with depression,” he says. “i believe that i've had that mal... http://t.co/th6vi76",en,0,0,1,"'i was ill,' contends wills: “i have been diagnosed with depression,” he says. “i believe that i've had that mal... http://t.co/th6vi76"
"'i was ill,' contends wills: “i have been diagnosed with depression,” he says. “i believe that i've had that mal... http://t.co/emydzim",en,0,0,1,"'i was ill,' contends wills: “i have been diagnosed with depression,” he says. “i believe that i've had that mal... http://t.co/emydzim"
rt @@wetalkdemi: i'm not saying i feel like i have depression. i'm diagnosed with it.,en,0,0,1,rt @@wetalkdemi: i'm not saying i feel like i have depression. i'm diagnosed with it.
