created_at,hari,tanggal,waktu,text,lang,retweet_count,favorite_count,label,translated_text
2010-03-06 03:37:56+00:00,Saturday,2010-03-06,03:37:56,"Do I have AS?: I have been diagnosed with a few things, Depression (Confirmed to be wrong), AS and ADHD. I believe... http://bit.ly/cRcULN",en,0,0,positive,"Do I have AS?: I have been diagnosed with a few things, Depression (Confirmed to be wrong), AS and ADHD. I believe... http://bit.ly/cRcULN"
2010-03-06 06:04:10+00:00,Saturday,2010-03-06,06:04:10,"Hate having friends doing med, so far this wk I have been diagnosed with having liver failure, depression, mild paranoia and chronic fatigue",en,0,0,positive,"Hate having friends doing med, so far this wk I have been diagnosed with having liver failure, depression, mild paranoia and chronic fatigue"
2011-08-09 11:45:03+00:00,Tuesday,2011-08-09,11:45:03,"@bullyinguk I've been bullied for 6 years, its torn me apart, because of the bullies I have been diagnosed with depression and anxiety x",en,0,0,positive,"@bullyinguk I've been bullied for 6 years, its torn me apart, because of the bullies I have been diagnosed with depression and anxiety x"
2011-08-10 00:43:56+00:00,Wednesday,2011-08-10,00:43:56,I have been diagnosed with depression before. #aboutme,en,0,0,positive,I have been diagnosed with depression before. #aboutme
2010-12-02 03:01:56+00:00,Thursday,2010-12-02,03:01:56,Self Help Tips For Dealing W/depression & Mental Illness?: I have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egfpkm,en,0,0,positive,Self Help Tips For Dealing W/depression & Mental Illness?: I have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egfpkm
2011-08-12 06:50:52+00:00,Friday,2011-08-12,06:50:52,I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed,en,0,0,positive,I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed
2011-08-12 06:54:20+00:00,Friday,2011-08-12,06:54:20,Aww. {hugs} RT @_MahaliaL2011I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed,en,0,0,positive,Aww. {hugs} RT @_MahaliaL2011I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed
2011-08-13 03:30:28+00:00,Saturday,2011-08-13,03:30:28,"@VonPink yeah i know, it's just weird that all of a sudden i'm diagnosed with depression when i don't have a clue why i'm depressed.",en,0,0,positive,"@VonPink yeah i know, it's just weird that all of a sudden i'm diagnosed with depression when i don't have a clue why i'm depressed."
2011-08-17 00:49:33+00:00,Wednesday,2011-08-17,00:49:33,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/TH6vI76",en,0,0,positive,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/TH6vI76"
2011-08-17 01:18:36+00:00,Wednesday,2011-08-17,01:18:36,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/eMYDZIm",en,0,0,positive,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/eMYDZIm"
2011-08-17 04:52:23+00:00,Wednesday,2011-08-17,04:52:23,RT @@WeTalkDemi: I'm not saying I feel like I have depression. I'm diagnosed with it.,en,0,0,positive,RT @@WeTalkDemi: I'm not saying I feel like I have depression. I'm diagnosed with it.
2011-08-17 13:22:15+00:00,Wednesday,2011-08-17,13:22:15,@Gailporter good too see you smiling x I have been diagnosed with depression and struggling light at the end of tunnel :@),en,0,0,positive,@Gailporter good too see you smiling x I have been diagnosed with depression and struggling light at the end of tunnel :@)
2011-08-18 06:17:23+00:00,Thursday,2011-08-18,06:17:23,#confession i have been diagnosed with depression. And im feelin it,en,0,0,positive,#confession i have been diagnosed with depression. And im feelin it
2011-08-20 03:16:57+00:00,Saturday,2011-08-20,03:16:57,"Q: why are you so depressed get over it and ...A: Because , I'm diagnosed with depression &...: http://t.co/QxqsGJe",en,0,0,positive,"Q: why are you so depressed get over it and ...A: Because , I'm diagnosed with depression &...: http://t.co/QxqsGJe"
2011-08-20 03:53:17+00:00,Saturday,2011-08-20,03:53:17,I think I'm diagnosed with depression. D:,en,0,0,positive,I think I'm diagnosed with depression. D:
2010-03-14 21:21:15+00:00,Sunday,2010-03-14,21:21:15,#truthaboutme I'm diagnosed with depression. && ihave pills to take for it. But idon't take that ish...,en,0,0,positive,#truthaboutme I'm diagnosed with depression. && ihave pills to take for it. But idon't take that ish...
2011-08-23 18:50:54+00:00,Tuesday,2011-08-23,18:50:54,I wasn't even there and I'm feeling it hardcore. RT @patrickpip: post camp depression disorder. it's real and i'm diagnosed. #summercamp,en,0,0,positive,I wasn't even there and I'm feeling it hardcore. RT @patrickpip: post camp depression disorder. it's real and i'm diagnosed. #summercamp
2010-03-18 23:16:27+00:00,Thursday,2010-03-18,23:16:27,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT,en,0,0,positive,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT
