created_at,hari,tanggal,waktu,bulan,jam,text,lang,retweet_count,favorite_count,label,translated_text
2010-03-06 03:37:56+00:00,Saturday,2010-03-06 00:00:00+00:00,03:37:56,March,3,"Do I have AS?: I have been diagnosed with a few things, Depression (Confirmed to be wrong), AS and ADHD. I believe... http://bit.ly/cRcULN",en,0,0,positive,"Do I have AS?: I have been diagnosed with a few things, Depression (Confirmed to be wrong), AS and ADHD. I believe... http://bit.ly/cRcULN"
2010-03-06 06:04:10+00:00,Saturday,2010-03-06 00:00:00+00:00,06:04:10,March,6,"Hate having friends doing med, so far this wk I have been diagnosed with having liver failure, depression, mild paranoia and chronic fatigue",en,0,0,positive,"Hate having friends doing med, so far this wk I have been diagnosed with having liver failure, depression, mild paranoia and chronic fatigue"
2011-08-09 11:45:03+00:00,Tuesday,2011-08-09 00:00:00+00:00,11:45:03,August,11,"@bullyinguk I've been bullied for 6 years, its torn me apart, because of the bullies I have been diagnosed with depression and anxiety x",en,0,0,positive,"@bullyinguk I've been bullied for 6 years, its torn me apart, because of the bullies I have been diagnosed with depression and anxiety x"
2011-08-10 00:43:56+00:00,Wednesday,2011-08-10 00:00:00+00:00,00:43:56,August,0,I have been diagnosed with depression before. #aboutme,en,0,0,positive,I have been diagnosed with depression before. #aboutme
2010-12-02 03:01:56+00:00,Thursday,2010-12-02 00:00:00+00:00,03:01:56,December,3,Self Help Tips For Dealing W/depression & Mental Illness?: I have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egfpkm,en,0,0,positive,Self Help Tips For Dealing W/depression & Mental Illness?: I have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egfpkm
2011-08-12 06:50:52+00:00,Friday,2011-08-12 00:00:00+00:00,06:50:52,August,6,I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed,en,0,0,positive,I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed
2011-08-12 06:54:20+00:00,Friday,2011-08-12 00:00:00+00:00,06:54:20,August,6,Aww. {hugs} RT @_MahaliaL2011I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed,en,0,0,positive,Aww. {hugs} RT @_MahaliaL2011I'm depressed #depression is one of the most common sicknesses in America meeeeee ? I'm diagnosed
2011-08-13 03:30:28+00:00,Saturday,2011-08-13 00:00:00+00:00,03:30:28,August,3,"@VonPink yeah i know, it's just weird that all of a sudden i'm diagnosed with depression when i don't have a clue why i'm depressed.",en,0,0,positive,"@VonPink yeah i know, it's just weird that all of a sudden i'm diagnosed with depression when i don't have a clue why i'm depressed."
2011-08-17 00:49:33+00:00,Wednesday,2011-08-17 00:00:00+00:00,00:49:33,August,0,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/TH6vI76",en,0,0,positive,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/TH6vI76"
2011-08-17 01:18:36+00:00,Wednesday,2011-08-17 00:00:00+00:00,01:18:36,August,1,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/eMYDZIm",en,0,0,positive,"'I was ill,' contends Wills: “I have been diagnosed with depression,” he says. “I believe that I've had that mal... http://t.co/eMYDZIm"
