slang,formal
2,too
2day,today
4,for
4ever,forever
I'm,I am
add,ADHD
add,attention deficit hyperactivity disorder
addmelist,add me list
adhd,attention deficit hyperactivity disorder
adhd,ADHD
af,as fuck
afaik,as far as I know
againi,again I
agoluckily,ago luckily
ahdh,ADHD
ahrbwd,acute horse related bad weather depression
ain't,aren't
aint,aren't
aka,also known as
all is looking good,everything is improving
allforhim,all for Him
anti depressants,antidepressants
anx,anxiety
anxietea,anxiety
anyone's,anyone is
anyones,anyone is
apparantly,apparently
ari pics,Ariana Grande pictures
asap,as soon as possible
at the mo,at the moment
atm,at the moment
atte,attempt
aw,aww
b,be
b4,before
bae,before anyone else/significant other
bbl,be back later
bby,baby
bc,because
bcuz,because
bday,birthday
bed,binge eating disorder
bet,agreement or sure
bf,boyfriend
bff,best friends forever
bi polar,bipolar
bipolardisorder,bipolar disorder
bout,about
bp,bipolar
bpd,borderline personality disorder
bra,bro
brain goblins,negative thoughts
brainweasels,intrusive thoughts
brb,be right back
broscience,bro science
btw,by the way
bullshit,nonsense
can't,cannot
cant,cannot
cap,lie
ccause,because
chronicsevere,chronic severe
clynical,clinical
confessionnight,confession night
confessionsaboutme,confessions about me
confessiontime,confession time
cont,continued
cos,because
couldnt,couldn't
coz,because
crazy compulsions,compulsive behaviors
cutting,self harming
cuz,because
damnnn,damn
ddnos,Dissociative Disorder Not Otherwise Specified
def,definitely
demoniac,demonic
depressionanxiety,depression and anxienty
depressioni,depression I
depressionthank,depression thank
depresso,depression
despression,depression
diagn,diagnosed
didnt,did not
diso,disorder
dissociate,mental detachment
dissy,dissociate
diy,do it yourself
dm,direct message
dnt,do not
do i have,do I have
doc,doctor
doesnt,doesn't
don't,do not
dont,don't
drip,stylish clothing
drunk,intoxicated
ducking,fucking
dunno,don't know
ed,eating disorder
ednos,Eating Disorder Not Otherwise Specified
endegenous,endogenous
episo,episode
eta,estimated time of arrival
everytime,every time
factaboutme,fact about me
factsaboutme,facts about me
feelin,feeling
ffs,for fuck's sake
fibro myalgia,fibromyalgia
fkn,fucking
flat out,directly
fml,fuck my life
fmllmaoo,fuck my life laughing a lot
fo,for
fomo,fear of missing out
fr,for real
ftw,for the win
fuckin,fucking
funfactaboutme,fun fact about me
fyi,for your information
gad,generalized anxiety disorder
ganna,gonna
geez,oh God
gf,girlfriend
ghosting,ignoring someone
gimme,give me
gl,good luck
glitch,dissociative episode
gonna,going to
gotta,got to
gp,general practitioner
gr8,great
gt,great
gtg,got to go
guys,everyone
hafta,have to
hahah,hahaha
hbu,how about you
hellllll no,absolutely not
hey,hello
hi,hello
hidingi,hiding I
hiya,hello
hmu,hit me up
honestthingsaboutme,honest things about me
honestyhour,honesty hour
